URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://fhir.health.gov.il/cs/city-symbol,0.13.2,draft,,CitySymbol,City Symbol (סמל ישוב),"Codes for cities in Israel",
http://fhir.health.gov.il/cs/department-type-moh,0.13.2,draft,,DepartmentTypeMoH,Department Type MoH,"Israel ministry of health coding system for department types",
http://fhir.health.gov.il/cs/hebrew-date-day,0.13.2,draft,,HebrewDateDay,Hebrew Date Day,"Codes for Hebrew date days",
http://fhir.health.gov.il/cs/hebrew-date-month,0.13.2,draft,,HebrewDateMonth,Hebrew Date Month,"Codes for Hebrew date months",
http://fhir.health.gov.il/cs/icd9il,0.13.2,draft,,ICD9IL,ICD9IL: Adendum to ICD9 according to codes by Israeli MoH,"Strings for procedures and diagnoses, added to ICD9",
http://fhir.health.gov.il/cs/il-core-coverage-class,0.13.2,draft,,ILCoreCoverageClass,IL Core Coverage Class codes,"Codes for Coverage classes",
http://fhir.health.gov.il/cs/il-core-coverage-premium-type,0.13.2,draft,,ILCoreCoveragePremiumType,IL Core Coverage Premium Type codes,"Codes for Types of premium payment methods",
http://fhir.health.gov.il/cs/il-core-coverage-type,0.13.2,draft,,ILCoreCoverageType,IL Core Coverage Type codes,"Codes for expressing general heigh level coverage types unique to Israel health system",
http://fhir.health.gov.il/cs/il-core-encounter-class,0.13.2,draft,,ILCoreEncounterClass,IL Core Encounter Class codes,"A list of codes for class types of encounters",
http://fhir.health.gov.il/cs/il-core-error-code,0.13.2,draft,,ILCoreErrorCode,IL Core Error code,"A list of error codes for ILCore profiles",
http://fhir.health.gov.il/cs/il-core-medication-course-of-therapy-type,0.13.2,draft,,ILCoreMedicationCourseOfTherapyType,Codes for Medication Course of therpy types,"A list of codes for Medication Course of therpy types",
http://fhir.health.gov.il/cs/il-core-medicationrequest-category,0.13.2,draft,,ILCoreMedicationCategory,Codes for MedicationRequest categories,"A list of codes for MedicationRequest categories",
http://fhir.health.gov.il/cs/il-core-not-performed-reason,0.13.2,draft,,ILCoreNotPerformedReason,IL Core Not Perfomed Reasons,"A list of codes for reasons an observation was not made",
http://fhir.health.gov.il/cs/il-core-religion-code,0.13.2,draft,,ILCoreReligionCode,IL Core relirion code,"Codes for religions, an addendum to the HL7 religions CodeSystem",
http://fhir.health.gov.il/cs/institution-type-moh,0.13.2,draft,,InstitutionTypeMoH,סוג מוסד לפי רישוי משרד הבריאות,"סוג מוסד לפי רישוי משרד הבריאות - הרוב המכריע נמצא בפרסום המאגר של רישוי מוסדות של משרד הבריאות",
http://fhir.health.gov.il/cs/medical-service-moh,0.13.2,draft,,MedicalServiceMoH,קוד מוצר או שירות על פי משרד הבריאות,"קוד שירותים רפואיים , כולל שירותים באשפוז, שירותים אמבולטוריים, רפואת שיניים ובריאות הנפש   Codes for medical services. Note that while this code system closely resembles CPT and includes a large number of CPT codes, there are some additional codes that are not covered by CPT and, more importantly, some cases where CPT codes are remapped and have different semantic meanings (e.g., code #28899 has two different meanings in CPT and in MoH codesytem). Therefore, despite apparent resemblance, this code system MUST NOT be treated as CPT.",
http://fhir.health.gov.il/cs/moh-tofes17-issue-code,0.13.2,draft,,MohTofes17IssueCode,Moh Form-17 Issue Code,"קודי שגיאה \ סירוב לתהליכים הקשורים לטופס 17",
